"Date","Price","Open","High","Low","Vol.","Change %"
"10/18/2023","13.85","14.00","14.25","13.81","4.05M","-1.91%"
"10/17/2023","14.12","14.25","14.83","14.10","3.84M","-2.15%"
"10/16/2023","14.43","14.81","14.93","14.15","3.51M","-3.28%"
"10/13/2023","14.92","14.92","15.10","14.78","1.84M","-1.13%"
"10/12/2023","15.09","15.77","15.80","14.82","3.18M","-4.61%"
"10/11/2023","15.82","16.01","16.08","15.74","2.10M","-1.13%"
"10/10/2023","16.00","15.50","16.19","15.40","2.92M","3.90%"
"10/09/2023","15.40","14.77","15.50","14.72","2.28M","2.12%"
"10/06/2023","15.08","14.59","15.26","14.58","2.47M","2.52%"
"10/05/2023","14.71","14.70","14.98","14.58","1.95M","-1.08%"
"10/04/2023","14.87","14.77","14.94","14.44","2.59M","1.85%"
"10/03/2023","14.60","15.29","15.29","14.57","4.51M","-5.13%"
"10/02/2023","15.39","16.30","16.31","15.26","6.09M","-6.50%"
"09/29/2023","16.46","17.05","17.26","16.40","3.40M","-2.26%"
"09/28/2023","16.84","18.02","18.10","16.44","7.43M","-1.81%"
"09/27/2023","17.15","16.87","17.26","16.81","1.68M","2.20%"
"09/26/2023","16.78","17.38","17.82","16.78","2.73M","-5.04%"
"09/25/2023","17.67","17.00","17.72","16.85","2.18M","2.85%"
"09/22/2023","17.18","17.18","17.35","17.00","2.10M","0.94%"
"09/21/2023","17.02","17.28","17.32","16.65","2.91M","-2.85%"
"09/20/2023","17.52","17.63","17.93","17.45","2.13M","0.00%"
"09/19/2023","17.52","17.59","17.64","17.13","2.58M","-0.17%"
"09/18/2023","17.55","17.99","18.10","17.35","3.69M","-3.68%"
"09/15/2023","18.22","18.36","18.61","18.15","6.17M","-0.60%"
"09/14/2023","18.33","17.80","18.52","17.60","3.08M","2.92%"
"09/13/2023","17.81","17.31","17.93","17.27","3.01M","3.37%"
"09/12/2023","17.23","17.53","18.50","17.19","5.18M","1.23%"
"09/11/2023","17.02","17.85","17.85","16.90","3.54M","-3.90%"
"09/08/2023","17.71","18.15","18.50","17.35","4.69M","-6.25%"
"09/07/2023","18.89","19.13","19.48","17.61","5.02M","0.75%"
"09/06/2023","18.75","19.06","19.15","18.42","6.11M","-2.50%"
"09/05/2023","19.23","18.45","19.34","18.26","3.78M","4.40%"
"09/01/2023","18.42","18.66","18.73","18.32","2.14M","-0.70%"
"08/31/2023","18.55","18.41","19.42","18.15","4.67M","0.98%"
"08/30/2023","18.37","18.20","18.52","17.91","1.88M","0.71%"
"08/29/2023","18.24","17.60","18.55","17.60","2.71M","3.81%"
"08/28/2023","17.57","17.35","18.11","17.25","3.01M","2.57%"
"08/25/2023","17.13","16.50","17.18","16.45","3.42M","4.71%"
"08/24/2023","16.36","16.94","16.98","16.18","3.62M","-3.14%"
"08/23/2023","16.89","17.25","17.34","16.88","2.91M","-2.14%"
"08/22/2023","17.26","18.62","18.62","17.25","3.79M","-6.60%"
"08/21/2023","18.48","18.30","18.82","18.20","2.86M","0.65%"
"08/18/2023","18.36","18.18","18.66","18.14","2.03M","-0.11%"
"08/17/2023","18.38","18.79","18.81","18.30","2.06M","-1.13%"
"08/16/2023","18.59","19.18","19.34","18.55","3.02M","-3.83%"
"08/15/2023","19.33","19.77","19.78","19.09","2.29M","-3.16%"
"08/14/2023","19.96","19.75","20.01","19.08","3.33M","-1.14%"
"08/11/2023","20.19","20.03","20.38","19.97","1.52M","0.00%"
"08/10/2023","20.19","20.00","20.29","19.87","1.43M","1.30%"
"08/09/2023","19.93","20.85","20.85","19.82","2.93M","-3.91%"
"08/08/2023","20.74","20.70","20.90","20.28","1.43M","-1.57%"
"08/07/2023","21.07","20.90","21.24","20.48","1.44M","0.43%"
"08/04/2023","20.98","20.95","21.89","20.89","2.41M","0.24%"
"08/03/2023","20.93","20.88","21.18","20.74","1.32M","0.48%"
"08/02/2023","20.83","21.15","21.15","20.34","2.63M","-3.12%"
"08/01/2023","21.50","21.95","22.00","21.26","2.57M","-3.15%"
"07/31/2023","22.20","22.00","22.38","21.85","1.98M","1.23%"
"07/28/2023","21.93","22.02","22.49","21.79","2.65M","-1.31%"
"07/27/2023","22.22","22.94","23.49","22.13","3.37M","-2.11%"
"07/26/2023","22.70","22.70","22.99","22.48","1.49M","-0.66%"
"07/25/2023","22.85","23.10","23.10","22.53","1.67M","-0.82%"
"07/24/2023","23.04","22.42","23.04","22.20","2.97M","3.88%"
"07/21/2023","22.18","23.05","23.22","22.16","3.17M","-3.19%"
"07/20/2023","22.91","23.01","23.22","22.66","2.26M","-1.12%"
"07/19/2023","23.17","23.42","23.58","22.96","2.25M","0.39%"
"07/18/2023","23.08","22.72","23.80","22.68","2.35M","1.14%"
"07/17/2023","22.82","22.88","23.31","22.70","2.03M","-0.65%"
"07/14/2023","22.97","23.49","23.72","22.94","2.18M","-2.09%"
"07/13/2023","23.46","23.54","23.98","23.42","1.91M","0.09%"
"07/12/2023","23.44","24.25","24.31","23.44","1.74M","-1.97%"
"07/11/2023","23.91","23.20","24.44","23.20","3.06M","1.57%"
"07/10/2023","23.54","22.61","23.56","22.00","3.32M","3.65%"
"07/07/2023","22.71","22.97","23.53","22.67","2.45M","-0.53%"
"07/06/2023","22.83","23.52","23.57","22.82","2.39M","-4.48%"
"07/05/2023","23.90","24.64","24.85","23.79","2.27M","-4.05%"
"07/03/2023","24.91","24.29","25.11","24.21","1.81M","2.72%"
"06/30/2023","24.25","24.97","25.13","24.25","2.80M","-2.61%"
"06/29/2023","24.90","24.96","25.47","24.62","3.10M","-0.32%"
"06/28/2023","24.98","23.44","25.10","23.40","3.49M","5.94%"
"06/27/2023","23.58","23.29","23.60","23.00","2.14M","2.43%"
"06/26/2023","23.02","23.38","24.03","22.91","2.53M","-2.87%"
"06/23/2023","23.70","23.78","24.15","23.68","2.26M","-2.55%"
"06/22/2023","24.32","24.13","24.33","23.76","1.90M","-0.45%"
"06/21/2023","24.43","24.84","25.10","24.10","2.40M","-0.61%"
"06/20/2023","24.58","24.41","24.65","23.72","3.25M","0.08%"
"06/16/2023","24.56","25.02","25.11","24.42","4.44M","-1.13%"
"06/15/2023","24.84","25.41","26.17","24.64","5.50M","-3.35%"
"06/14/2023","25.70","26.72","27.08","24.90","7.24M","-4.64%"
"06/13/2023","26.95","26.20","27.65","25.03","17.16M","10.91%"
"06/12/2023","24.30","22.84","24.30","22.74","7.14M","7.14%"
"06/09/2023","22.68","21.78","23.43","21.50","10.34M","5.78%"
"06/08/2023","21.44","20.30","22.00","20.10","19.21M","-17.89%"
"06/07/2023","26.11","26.20","26.55","25.07","18.00M","5.75%"
"06/06/2023","24.69","24.01","25.25","24.00","3.98M","1.56%"
"06/05/2023","24.31","24.53","25.84","24.16","4.98M","-1.34%"
"06/02/2023","24.64","24.29","24.93","24.28","3.30M","2.24%"
"06/01/2023","24.10","24.04","24.66","23.78","3.84M","0.21%"
"05/31/2023","24.05","24.51","24.80","23.88","4.27M","-2.12%"
"05/30/2023","24.57","23.35","24.69","23.30","5.04M","5.68%"
"05/26/2023","23.25","23.47","23.71","23.06","2.26M","-0.43%"
"05/25/2023","23.35","23.50","23.69","22.71","2.49M","0.34%"
"05/24/2023","23.27","23.13","23.52","22.73","1.90M","0.47%"
"05/23/2023","23.16","23.89","23.90","22.80","3.79M","-4.34%"
"05/22/2023","24.21","22.10","24.36","21.99","6.25M","9.75%"
"05/19/2023","22.06","22.94","22.99","21.75","2.67M","-4.30%"
"05/18/2023","23.05","22.90","23.30","22.68","2.14M","0.79%"
"05/17/2023","22.87","21.99","23.25","21.90","4.57M","4.00%"
"05/16/2023","21.99","21.50","22.10","21.42","2.50M","1.71%"
"05/15/2023","21.62","20.62","21.63","20.49","2.60M","4.49%"
"05/12/2023","20.69","20.83","20.98","20.23","2.01M","-0.91%"
"05/11/2023","20.88","20.69","21.16","20.51","1.65M","0.58%"
"05/10/2023","20.76","20.45","20.96","20.38","2.14M","2.57%"
"05/09/2023","20.24","20.16","20.65","20.12","1.52M","-1.32%"
"05/08/2023","20.51","20.46","20.99","20.09","2.40M","0.44%"
"05/05/2023","20.42","19.62","20.88","19.51","4.36M","5.53%"
"05/04/2023","19.35","19.25","19.48","18.92","2.04M","2.38%"
"05/03/2023","18.90","18.56","19.20","18.53","3.18M","1.72%"
"05/02/2023","18.58","18.45","18.58","18.06","1.92M","0.16%"
"05/01/2023","18.55","19.16","19.25","18.46","2.36M","-3.84%"
"04/28/2023","19.29","18.92","19.72","18.88","2.84M","1.85%"
"04/27/2023","18.94","18.75","19.34","18.72","2.24M","1.55%"
"04/26/2023","18.65","18.98","19.23","18.65","2.29M","-1.84%"
"04/25/2023","19.00","19.74","20.04","18.91","2.56M","-4.67%"
"04/24/2023","19.93","20.15","20.41","19.81","2.74M","-2.73%"
"04/21/2023","20.49","20.20","20.62","20.10","2.09M","1.34%"
"04/20/2023","20.22","20.88","21.57","20.06","2.98M","-5.11%"
"04/19/2023","21.31","21.28","21.87","20.96","2.54M","-1.39%"
"04/18/2023","21.61","22.14","22.32","21.50","2.75M","-3.01%"
"04/17/2023","22.28","22.27","22.68","22.14","2.07M","-0.80%"
"04/14/2023","22.46","22.74","23.25","22.32","2.31M","-0.40%"
"04/13/2023","22.55","22.50","22.85","22.33","1.80M","1.30%"
"04/12/2023","22.26","22.90","23.28","22.26","2.14M","-1.90%"
"04/11/2023","22.69","22.57","23.17","22.42","2.54M","1.43%"
"04/10/2023","22.37","21.85","22.43","21.82","2.18M","-0.13%"
"04/06/2023","22.40","22.00","22.67","21.77","2.51M","1.50%"
"04/05/2023","22.07","22.47","22.47","21.23","3.64M","-1.25%"
"04/04/2023","22.35","22.75","23.14","22.09","3.42M","-3.54%"
"04/03/2023","23.17","22.94","23.85","22.66","4.27M","0.65%"
"03/31/2023","23.02","22.35","23.07","22.15","3.88M","2.31%"
"03/30/2023","22.50","22.60","22.83","22.11","3.48M","0.18%"
"03/29/2023","22.46","23.08","23.70","22.22","4.16M","-2.98%"
"03/28/2023","23.15","22.97","23.54","22.22","5.71M","0.65%"
"03/27/2023","23.00","23.99","24.01","22.69","4.58M","-4.09%"
"03/24/2023","23.98","22.32","23.99","22.10","8.77M","6.20%"
"03/23/2023","22.58","22.57","24.59","22.13","11.17M","-5.40%"
"03/22/2023","23.87","26.60","27.00","23.05","66.76M","35.24%"
"03/21/2023","17.65","17.15","18.35","17.14","15.88M","4.62%"
"03/20/2023","16.87","16.65","17.27","16.25","4.46M","1.63%"
"03/17/2023","16.60","16.62","16.72","15.92","5.11M","-0.95%"
"03/16/2023","16.76","16.00","16.77","15.53","4.09M","5.08%"
"03/15/2023","15.95","16.50","16.69","15.69","4.54M","-5.68%"
"03/14/2023","16.91","17.37","17.41","16.40","3.08M","0.96%"
"03/13/2023","16.75","16.77","17.35","16.52","2.96M","-2.90%"
"03/10/2023","17.25","17.53","17.77","16.85","2.85M","-1.54%"
"03/09/2023","17.52","18.07","18.38","17.48","2.65M","-3.58%"
"03/08/2023","18.17","18.05","18.38","17.63","3.28M","0.61%"
"03/07/2023","18.06","18.54","18.83","18.06","2.38M","-3.16%"
"03/06/2023","18.65","18.52","19.50","18.52","2.82M","-0.27%"
"03/03/2023","18.70","18.19","19.10","18.10","2.51M","2.80%"
"03/02/2023","18.19","18.15","18.40","17.62","2.63M","0.22%"
"03/01/2023","18.15","18.92","19.09","18.14","4.21M","-5.62%"
"02/28/2023","19.23","19.06","19.52","18.95","3.37M","0.68%"
"02/27/2023","19.10","19.61","19.70","18.89","4.01M","-2.25%"
"02/24/2023","19.54","19.71","20.08","19.54","2.28M","-2.98%"
"02/23/2023","20.14","20.66","20.87","19.53","2.86M","-1.85%"
"02/22/2023","20.52","20.53","21.19","20.33","2.16M","-0.68%"
"02/21/2023","20.66","21.33","21.83","20.63","3.10M","-6.05%"
"02/17/2023","21.99","21.27","22.07","21.15","2.85M","1.81%"
"02/16/2023","21.60","21.25","22.42","20.85","3.88M","-0.92%"
"02/15/2023","21.80","19.80","21.80","19.59","7.15M","9.71%"
"02/14/2023","19.87","19.31","20.01","19.10","2.75M","0.91%"
"02/13/2023","19.69","19.30","19.94","19.01","2.30M","2.18%"
"02/10/2023","19.27","19.56","20.04","19.05","2.90M","-2.03%"
"02/09/2023","19.67","21.25","21.65","19.67","4.50M","-6.78%"
"02/08/2023","21.10","21.43","21.55","20.61","2.85M","-0.57%"
"02/07/2023","21.22","23.00","23.05","20.50","9.09M","-11.06%"
"02/06/2023","23.86","21.88","24.88","21.77","8.71M","7.24%"
"02/03/2023","22.25","22.01","23.93","21.80","4.94M","-1.98%"
"02/02/2023","22.70","22.44","24.40","22.22","7.66M","3.99%"
"02/01/2023","21.83","21.49","22.12","20.55","4.52M","-0.18%"
"01/31/2023","21.87","21.41","22.05","21.30","3.13M","2.92%"
"01/30/2023","21.25","22.50","23.48","21.13","4.95M","-6.88%"
"01/27/2023","22.82","19.80","23.31","19.41","11.90M","14.04%"
"01/26/2023","20.01","20.61","21.17","19.38","3.52M","-1.09%"
"01/25/2023","20.23","20.59","20.84","19.53","3.52M","-5.47%"
"01/24/2023","21.40","21.30","22.09","21.00","2.38M","-1.20%"
"01/23/2023","21.66","19.50","22.49","19.37","7.18M","10.45%"
"01/20/2023","19.61","19.05","20.07","18.90","3.56M","2.99%"
"01/19/2023","19.04","20.44","20.45","18.82","4.52M","-8.42%"
"01/18/2023","20.79","22.01","22.15","20.50","5.63M","-4.63%"
"01/17/2023","21.80","20.49","21.94","20.37","5.41M","6.39%"
"01/13/2023","20.49","19.88","21.11","19.80","5.49M","-0.68%"
"01/12/2023","20.63","19.04","20.63","18.34","5.88M","8.35%"
"01/11/2023","19.04","18.19","20.05","17.86","8.41M","7.15%"
"01/10/2023","17.77","16.30","18.09","16.25","4.40M","8.49%"
"01/09/2023","16.38","16.65","17.13","16.36","3.52M","-0.49%"
"01/06/2023","16.46","16.00","16.57","15.41","4.82M","1.48%"
"01/05/2023","16.22","17.06","17.26","15.89","6.07M","-6.35%"
"01/04/2023","17.32","17.25","17.93","16.90","3.94M","0.70%"
"01/03/2023","17.20","18.64","19.26","17.09","5.14M","-6.83%"
"12/30/2022","18.46","17.95","18.58","17.90","2.67M","0.71%"
"12/29/2022","18.33","18.12","18.57","17.75","3.44M","2.29%"
"12/28/2022","17.92","18.29","18.70","16.98","5.67M","-1.54%"
"12/27/2022","18.20","19.91","19.99","18.00","4.23M","-9.36%"
"12/23/2022","20.08","20.00","20.63","19.65","3.17M","1.36%"
"12/22/2022","19.81","20.50","20.50","18.50","5.34M","-3.65%"
"12/21/2022","20.56","20.40","20.90","20.18","2.79M","1.48%"
"12/20/2022","20.26","19.86","21.32","19.62","4.48M","1.71%"
"12/19/2022","19.92","20.55","20.89","19.59","3.70M","-4.23%"
"12/16/2022","20.80","20.48","21.11","20.01","9.38M","1.07%"
"12/15/2022","20.58","20.74","21.44","20.24","6.44M","-2.23%"
"12/14/2022","21.05","21.19","22.00","21.01","4.60M","0.24%"
"12/13/2022","21.00","23.55","23.70","20.83","6.31M","-7.37%"
"12/12/2022","22.67","22.66","23.15","22.18","3.75M","0.18%"
"12/09/2022","22.63","24.59","24.59","22.59","5.33M","-8.71%"
"12/08/2022","24.79","22.00","25.00","21.97","10.25M","11.37%"
"12/07/2022","22.26","23.40","23.61","21.97","10.08M","-4.83%"
"12/06/2022","23.39","25.41","25.58","23.11","7.70M","-8.49%"
"12/05/2022","25.56","27.31","27.48","25.44","4.97M","-7.12%"
"12/02/2022","27.52","26.25","27.87","26.11","4.58M","3.46%"
"12/01/2022","26.60","26.00","27.50","25.18","7.62M","1.49%"
"11/30/2022","26.21","25.90","26.23","24.91","3.73M","2.38%"
"11/29/2022","25.60","25.58","26.35","25.32","2.03M","1.23%"
"11/28/2022","25.29","25.79","26.44","25.21","2.45M","-3.36%"
"11/25/2022","26.17","26.50","27.05","26.14","1.12M","-1.99%"
"11/23/2022","26.70","25.92","27.14","25.92","2.74M","1.52%"
"11/22/2022","26.30","25.13","26.45","24.70","4.24M","4.53%"
"11/21/2022","25.16","26.66","27.83","24.85","4.44M","-8.84%"
"11/18/2022","27.60","28.16","28.70","26.83","3.09M","-0.58%"
